Goroka,AYGA
Madang,AYMD
Mount Hagen,AYMH
Nadzab,AYNZ
Port Moresby Jacksons Intl,AYPY
Wewak Intl,AYWK
Narsarsuaq,BGBW
Nuuk,BGGH
Sondre Stromfjord,BGSF
Thule Air Base,BGTL
Akureyri,BIAR
Egilsstadir,BIEG
Hornafjordur,BIHN
Husavik,BIHU
Isafjordur,BIIS
Keflavik Nas,BIKF
Patreksfjordur,BIPA
Reykjavik,BIRK
Siglufjordur,BISI
Vestmannaeyjar,BIVM
Sault Ste Marie,CYAM
Winnipeg St Andrews,CYAV
Shearwater,CYAW
St Anthony,CYAY
Tofino,CYAZ
Kugaaruk,CYBB
Baie Comeau,CYBC
Bagotville,CYBG
Baker Lake,CYBK
Campbell River,CYBL
Brandon Muni,CYBR
Cambridge Bay,CYCB
Nanaimo,CYCD
Castlegar,CYCG
Miramichi,CYCH
Charlo,CYCL
Kugluktuk,CYCO
Coronation,CYCT
Chilliwack,CYCW
Clyde River,CYCY
Fairmont Hot Springs,CYCZ
Dawson City,CYDA
Burwash,CYDB
Princeton,CYDC
Deer Lake,CYDF
Dease Lake,CYDL
Dauphin Barker,CYDN
Dawson Creek,CYDQ
Edmonton Intl,CYEG
Arviat,CYEK
Estevan,CYEN
Edson,CYET
Eureka,CYEU
Inuvik Mike Zubko,CYEV
Iqaluit,CYFB
Fredericton,CYFC
Forestville,CYFE
Flin Flon,CYFO
Fort Resolution,CYFR
Fort Simpson,CYFS
Kingston,CYGK
La Grande Riviere,CYGL
Gaspe,CYGP
Geraldton Greenstone Regional,CYGQ
Iles De La Madeleine,CYGR
Hudson Bay,CYHB
Dryden Rgnl,CYHD
Ulukhaktok Holman,CYHI
Gjoa Haven,CYHK
Hamilton,CYHM
St Hubert,CYHU
Hay River,CYHY
Halifax Intl,CYHZ
Atikokan Muni,CYIB
Pond Inlet,CYIO
St Jean,CYJN
Stephenville,CYJT
Kamloops,CYKA
Waterloo,CYKF
Schefferville,CYKL
Kindersley,CYKY
Buttonville Muni,CYKZ
Chapleau,CYLD
Meadow Lake,CYLJ
Lloydminster,CYLL
Alert,CYLT
Kelowna,CYLW
Mayo,CYMA
Moose Jaw Air Vice Marshal C M Mcewen,CYMJ
Fort Mcmurray,CYMM
Moosonee,CYMO
Maniwaki,CYMW
Montreal Intl Mirabel,CYMX
Natashquan,CYNA
Gatineau,CYND
Matagami,CYNM
Old Crow,CYOC
Cold Lake,CYOD
High Level,CYOJ
Ottawa Macdonald Cartier Intl,CYOW
Prince Albert Glass Field,CYPA
Peace River,CYPE
Southport,CYPG
Pitt Meadows,CYPK
Pickle Lake,CYPL
Port Menier,CYPN
Peterborough,CYPQ
Prince Rupert,CYPR
Fort Chipewyan,CYPY
Muskoka,CYQA
Quebec Jean Lesage Intl,CYQB
Red Deer Regional,CYQF
Windsor,CYQG
Watson Lake,CYQH
Kenora,CYQK
Lethbridge,CYQL
Greater Moncton Intl,CYQM
Comox,CYQQ
Regina Intl,CYQR
Thunder Bay,CYQT
Grande Prairie,CYQU
Yorkton Muni,CYQV
North Battleford,CYQW
Gander Intl,CYQX
Sydney,CYQY
Quesnel,CYQZ
Resolute Bay,CYRB
Riviere Du Loup,CYRI
Roberval,CYRJ
Rocky Mountain House,CYRM
Rankin Inlet,CYRT
Sudbury,CYSB
Sherbrooke,CYSC
Saint John,CYSJ
Fort Smith,CYSM
Nanisivik,CYSR
Summerside,CYSU
Sachs Harbour,CYSY
Cape Dorset,CYTE
Thompson,CYTH
Trenton,CYTR
Timmins,CYTS
City Centre,CYTZ
Tuktoyaktuk,CYUB
Pierre Elliott Trudeau Intl,CYUL
Repulse Bay,CYUT
Hall Beach,CYUX
Rouyn Noranda,CYUY
La Ronge,CYVC
Vermilion,CYVG
Qikiqtarjuaq,CYVM
Val D Or,CYVO
Kuujjuaq,CYVP
Norman Wells,CYVQ
Vancouver Intl,CYVR
Buffalo Narrows,CYVT
Wiarton,CYVV
Petawawa,CYWA
Winnipeg Intl,CYWG
Wabush,CYWK
Williams Lake,CYWL
Wrigley,CYWY
Canadian Rockies Intl,CYXC
Edmonton City Centre,CYXD
Saskatoon J G Diefenbaker Intl,CYXE
Medicine Hat,CYXH
Fort St John,CYXJ
Sioux Lookout,CYXL
Pangnirtung,CYXP
Timiskaming Rgnl,CYXR
Prince George,CYXS
Terrace,CYXT
London,CYXU
Abbotsford,CYXX
Whitehorse Intl,CYXY
North Bay,CYYB
Calgary Intl,CYYC
Smithers,CYYD
Fort Nelson,CYYE
Penticton,CYYF
Charlottetown,CYYG
Taloyoak,CYYH
Victoria Intl,CYYJ
Lynn Lake,CYYL
Swift Current,CYYN
Churchill,CYYQ
Goose Bay,CYYR
St Johns Intl,CYYT
Kapuskasing,CYYU
Armstrong,CYYW
Mont Joli,CYYY
Lester B Pearson Intl,CYYZ
Downsview,CYZD
Gore Bay Manitoulin,CYZE
Yellowknife,CYZF
Slave Lake,CYZH
Sandspit,CYZP
Chris Hadfield,CYZR
Port Hardy,CYZT
Whitecourt,CYZU
Sept Iles,CYZV
Teslin,CYZW
Greenwood,CYZX
Faro,CZFA
Fort Mcpherson,CZFM
Blida,DAAB
Bou Saada,DAAD
Soummam,DAAE
Houari Boumediene,DAAG
Tiska,DAAJ
Boufarik,DAAK
Reggane,DAAN
Illizi Takhamalt,DAAP
Ain Oussera,DAAQ
Tamanrasset,DAAT
Jijel,DAAV
Mecheria,DAAY
Relizane,DAAZ
Annaba,DABB
Mohamed Boudiaf Intl,DABC
Cheikh Larbi Tebessi,DABS
Hassi R Mel,DAFH
Bou Chekif,DAOB
Bou Sfer,DAOE
Tindouf,DAOF
Ech Cheliff,DAOI
Tafaraoui,DAOL
Zenata,DAON
Es Senia,DAOO
Sidi Bel Abbes,DAOS
Ghriss,DAOV
Touat Cheikh Sidi Mohamed Belkebir,DAUA
Biskra,DAUB
El Golea,DAUE
Noumerat,DAUG
Oued Irara,DAUH
In Salah,DAUI
Sidi Mahdi,DAUK
Laghouat,DAUL
Timimoun,DAUT
Ouargla,DAUU
In Amenas,DAUZ
Cadjehoun,DBBB
Ouagadougou,DFFD
Bobo Dioulasso,DFOO
Kotoka Intl,DGAA
Tamale,DGLE
Wa,DGLW
Sunyani,DGSN
Takoradi,DGTK
Abidjan Felix Houphouet Boigny Intl,DIAP
Bouake,DIBK
Daloa,DIDL
Korhogo,DIKO
Man,DIMN
San Pedro,DISP
Yamoussoukro,DIYO
Nnamdi Azikiwe Intl,DNAA
Akure,DNAK
Benin,DNBE
Calabar,DNCA
Enugu,DNEN
Gusau,DNGU
Ibadan,DNIB
Ilorin,DNIL
Yakubu Gowon,DNJO
Kaduna,DNKA
Mallam Aminu Intl,DNKN
Maiduguri,DNMA
Makurdi,DNMK
Murtala Muhammed,DNMM
Minna New,DNMN
Port Harcourt Intl,DNPO
Sadiq Abubakar Iii Intl,DNSO
Yola,DNYO
Zaria,DNZA
Maradi,DRRM
Diori Hamani,DRRN
Tahoua,DRRT
Manu Dayak,DRZA
Dirkou,DRZD
Diffa,DRZF
Zinder,DRZR
Habib Bourguiba Intl,DTMB
Carthage,DTTA
Sidi Ahmed Air Base,DTTB
Remada,DTTD
Gafsa,DTTF
Gabes,DTTG
Borj El Amri,DTTI
Zarzis,DTTJ
El Borma,DTTR
Thyna,DTTX
Nefta,DTTZ
Niamtougou International,DXNG
Gnassingbe Eyadema Intl,DXXX
Deurne,EBAW
Beauvechain,EBBE
Kleine Brogel,EBBL
Brussels Natl,EBBR
Bertrix,EBBX
Brussels South,EBCI
Chievres Ab,EBCV
Koksijde,EBFN
Florennes,EBFS
Wevelgem,EBKT
Liege,EBLG
Oostende,EBOS
Zutendaal,EBSL
Sint Truiden,EBST
Saint Hubert Mil,EBSU
Ursel,EBUL
Weelde,EBWE
Zoersel,EBZR
Bautzen,EDAB
Altenburg Nobitz,EDAC
Dessau,EDAD
Eisenhuttenstadt,EDAE
Putnam County Airport,\N
Grossenhain,EDAK
Merseburg,EDAM
Halle Oppin,EDAQ
Riesa Gohlis,EDAU
Rechlin Larz,EDAX
Strausberg,EDAY
Schonhagen,EDAZ
Barth,EDBH
Jena Schongleina,EDBJ
Kyritz,EDBK
Magdeburg,EDBM
Rothenburg Gorlitz,EDBR
Anklam,EDCA
Cottbus Drewitz,EDCD
Kamenz,EDCM
Schonefeld,EDDB
Dresden,EDDC
Erfurt,EDDE
Frankfurt Main,EDDF
Munster Osnabruck,EDDG
Hamburg,EDDH
Tempelhof,EDDI
Koln Bonn,EDDK
Dusseldorf,EDDL
Franz Josef Strauss,EDDM
Nurnberg,EDDN
Leipzig Halle,EDDP
Saarbrucken,EDDR
Stuttgart,EDDS
